Sales,Discount,Order_Quantity,Profit,Shipping_Cost,Product_Base_Margin,Customer_Name,City,State,Country,Customer_Segment,Order_ID,Order_Date,Order_Priority,Product_Category,Product_Sub_Category,Ship_Mode,Ship_Date
30.85,0.03,4,-12.88,5.79,0.36,KRISTINA NUNN,Chennai,Tamil Nadu,India,CONSUMER,24450,9/7/2012,CRITICAL,OFFICE SUPPLIES,PAPER,REGULAR AIR,11/7/2012
392.61,0.08,41,-100.15,7.29,0.45,KRISTINA NUNN,Chennai,Tamil Nadu,India,CONSUMER,24450,9/7/2012,CRITICAL,FURNITURE,OFFICE FURNISHINGS,EXPRESS AIR,12/7/2012
1081.22,0.08,25,130.8,8.99,0.58,MARK COUSINS,Chennai,Tamil Nadu,India,CORPORATE,24580,23/6/2012,HIGH,OFFICE SUPPLIES,PENS & ART SUPPLIES,REGULAR AIR,24/6/2012
36.41,0.01,14,-31.45,4.57,0.41,MARK COUSINS,Chennai,Tamil Nadu,India,CORPORATE,24580,23/6/2012,HIGH,FURNITURE,OFFICE FURNISHINGS,REGULAR AIR,25/6/2012
5205.83,0.08,45,-818.77,51.94,0.63,SALLY KNUTSON,Chennai,Tamil Nadu,India,SMALL BUSINESS,24833,16/7/2010,NOT SPECIFIED,FURNITURE,TABLES,DELIVERY TRUCK,18/7/2010
3416.38,0.01,32,-1142.2,57.38,0.78,SHAHID SHARIARI,Chennai,Tamil Nadu,India,CONSUMER,24933,26/7/2009,LOW,FURNITURE,BOOKCASES,DELIVERY TRUCK,28/7/2009
142.81,0.01,14,39.64,2.27,0.36,SHAHID SHARIARI,Chennai,Tamil Nadu,India,CONSUMER,24933,26/7/2009,LOW,OFFICE SUPPLIES,PAPER,REGULAR AIR,28/7/2009
22079.47,0.06,12,5322.14,13.99,0.38,SYLVIA FOULSTON,Mumbai,Maharashtra,India,CORPORATE,12419,15/10/2011,CRITICAL,TECHNOLOGY,OFFICE MACHINES,REGULAR AIR,17/10/2011
4636.62,0.1,24,-318.45,69,0.79,SALLY KNUTSON,Chennai,Tamil Nadu,India,CONSUMER,25031,23/8/2009,HIGH,FURNITURE,TABLES,REGULAR AIR,25/8/2009
100.11,0.07,20,-41.7,4.7,0.38,SALLY KNUTSON,Chennai,Tamil Nadu,India,CONSUMER,25031,23/8/2009,HIGH,OFFICE SUPPLIES,PAPER,REGULAR AIR,24/8/2009
5140.08,0.06,36,-582.43,51.92,0.69,SALLY KNUTSON,Chennai,Tamil Nadu,India,HOME OFFICE,25633,1/8/2011,LOW,FURNITURE,TABLES,DELIVERY TRUCK,6/8/2011
633.08,0.04,14,145.48,4.62,0.56,SALLY KNUTSON,Chennai,Tamil Nadu,India,CORPORATE,25635,29/5/2012,CRITICAL,OFFICE SUPPLIES,APPLIANCES,EXPRESS AIR,30/5/2012
110.42,0.09,22,-36.6,3.63,0.51,SALLY KNUTSON,Chennai,Tamil Nadu,India,CORPORATE,25635,29/5/2012,CRITICAL,FURNITURE,OFFICE FURNISHINGS,REGULAR AIR,30/5/2012
25.34,0.1,5,-21.29,6.89,0.6,JUSTIN HIRSH,Chennai,Tamil Nadu,India,CONSUMER,25830,6/5/2010,LOW,OFFICE SUPPLIES,APPLIANCES,REGULAR AIR,6/5/2010
178.57,0.05,11,-37.39,10.91,0.36,JUSTIN HIRSH,Chennai,Tamil Nadu,India,CONSUMER,25830,6/5/2010,LOW,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,REGULAR AIR,11/5/2010
265.35,0.02,24,-128.69,11.59,0.4,KHLOE MILLER,Chennai,Tamil Nadu,India,HOME OFFICE,26342,18/10/2009,LOW,OFFICE SUPPLIES,PAPER,REGULAR AIR,27/10/2009
1993.94,0.02,41,931.7,5.79,0.37,KHLOE MILLER,Chennai,Tamil Nadu,India,HOME OFFICE,26342,18/10/2009,LOW,OFFICE SUPPLIES,PAPER,REGULAR AIR,23/10/2009
24.73,0.04,3,-10.77,4.91,0.37,KHLOE MILLER,Chennai,Tamil Nadu,India,HOME OFFICE,26342,18/10/2009,LOW,OFFICE SUPPLIES,PAPER,REGULAR AIR,25/10/2009
5407.31,0.04,24,1068.48,28.16,0.59,EUGENE BARCHAS,Mumbai,Maharashtra,India,HOME OFFICE,12485,7/8/2010,CRITICAL,FURNITURE,CHAIRS & CHAIRMATS,DELIVERY TRUCK,8/8/2010
1809.0125,0.01,25,795.05,2.5,0.35,SHAHID SHARIARI,Chennai,Tamil Nadu,India,CORPORATE,26368,15/7/2010,MEDIUM,TECHNOLOGY,TELEPHONES AND COMMUNICATION,REGULAR AIR,17/7/2010
31.96,0.01,1,-74.64,1.99,0.5,RALPH KENNEDY,Chennai,Tamil Nadu,India,CORPORATE,26372,12/7/2009,LOW,TECHNOLOGY,COMPUTER PERIPHERALS,REGULAR AIR,16/7/2009
767.26,0.07,25,-29.56,4,0.74,GIULIETTA WEIMER,Chennai,Tamil Nadu,India,HOME OFFICE,26756,10/5/2012,MEDIUM,TECHNOLOGY,COMPUTER PERIPHERALS,REGULAR AIR,10/5/2012
253.89,0.09,40,-103.77,6.22,0.37,GIULIETTA WEIMER,Chennai,Tamil Nadu,India,HOME OFFICE,26756,10/5/2012,MEDIUM,OFFICE SUPPLIES,PAPER,REGULAR AIR,12/5/2012
127.9,0.07,20,-80.41,7.37,0.37,GIULIETTA WEIMER,Chennai,Tamil Nadu,India,HOME OFFICE,26756,10/5/2012,MEDIUM,OFFICE SUPPLIES,PAPER,REGULAR AIR,12/5/2012
73.64,0.07,44,-58.87,1.99,0.51,HEATHER JAS,Chennai,Tamil Nadu,India,CORPORATE,26851,24/7/2011,HIGH,TECHNOLOGY,COMPUTER PERIPHERALS,REGULAR AIR,26/7/2011
603.347,0.08,13,142.98,1.25,0.35,VICKY FREYMANN,Chennai,Tamil Nadu,India,HOME OFFICE,26981,30/8/2012,MEDIUM,TECHNOLOGY,TELEPHONES AND COMMUNICATION,REGULAR AIR,30/8/2012
770.53,0.04,44,30.17,6.25,0.58,VICKY FREYMANN,Chennai,Tamil Nadu,India,HOME OFFICE,26981,30/8/2012,MEDIUM,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR,31/8/2012
7813.7,0.09,40,2154.33,24.49,0.46,PHILISSE OVERCASH,Chennai,Tamil Nadu,India,SMALL BUSINESS,27298,19/11/2011,LOW,TECHNOLOGY,COPIERS AND FAX,REGULAR AIR,23/11/2011
164.92,0.04,31,-54.36,4.86,0.38,PHILISSE OVERCASH,Chennai,Tamil Nadu,India,SMALL BUSINESS,27298,19/11/2011,LOW,OFFICE SUPPLIES,PAPER,REGULAR AIR,24/11/2011
507.74,0.05,8,-118.54,52.2,0.72,MARK COUSINS,Chennai,Tamil Nadu,India,HOME OFFICE,27330,16/9/2009,LOW,FURNITURE,OFFICE FURNISHINGS,REGULAR AIR,16/9/2009
74.3,0.08,34,-129.01,5.33,0.43,JIM RADFORD,Mumbai,Maharashtra,India,CORPORATE,12544,3/3/2009,LOW,FURNITURE,OFFICE FURNISHINGS,REGULAR AIR,10/3/2009
12600.99,0.05,30,2963.48,14.7,0.56,MARK COUSINS,Chennai,Tamil Nadu,India,HOME OFFICE,27330,16/9/2009,LOW,TECHNOLOGY,OFFICE MACHINES,DELIVERY TRUCK,25/9/2009
181.13,0,47,-11.39,2.5,0.39,SHAHID HOPKINS,Chennai,Tamil Nadu,India,SMALL BUSINESS,27781,15/9/2011,HIGH,OFFICE SUPPLIES,ENVELOPES,REGULAR AIR,17/9/2011
206.04,0,9,-49.81,14.39,0.47,KHLOE MILLER,Chennai,Tamil Nadu,India,CORPORATE,28225,22/1/2009,CRITICAL,FURNITURE,OFFICE FURNISHINGS,REGULAR AIR,22/1/2009
668.39,0.07,22,344.61,3.92,0.44,MARK COUSINS,Chennai,Tamil Nadu,India,HOME OFFICE,28389,3/11/2009,HIGH,FURNITURE,OFFICE FURNISHINGS,REGULAR AIR,4/11/2009
4657.35,0.05,16,322.66,18.06,0.6,MARK COUSINS,Chennai,Tamil Nadu,India,HOME OFFICE,28389,3/11/2009,HIGH,TECHNOLOGY,OFFICE MACHINES,DELIVERY TRUCK,4/11/2009
2097.94,0.07,7,-404.05,54.12,0.76,MARK COUSINS,Chennai,Tamil Nadu,India,HOME OFFICE,28389,3/11/2009,HIGH,FURNITURE,TABLES,DELIVERY TRUCK,5/11/2009
246,0.1,44,-207.36,7.96,0.36,MARK COUSINS,Chennai,Tamil Nadu,India,CORPORATE,28898,28/5/2011,LOW,OFFICE SUPPLIES,PAPER,REGULAR AIR,28/5/2011
871.32,0.1,23,315.16,5.86,0.36,TRUDY SCHMIDT,Chennai,Tamil Nadu,India,SMALL BUSINESS,28901,11/6/2012,HIGH,OFFICE SUPPLIES,PAPER,REGULAR AIR,12/6/2012
468.49,0.03,8,-6.37,13.22,0.56,ROB DOWD,Chennai,Tamil Nadu,India,CORPORATE,29185,20/1/2010,HIGH,OFFICE SUPPLIES,APPLIANCES,REGULAR AIR,21/1/2010
217.85,0.02,5,-25.31,17.48,0.36,ROB DOWD,Chennai,Tamil Nadu,India,CORPORATE,29185,20/1/2010,HIGH,OFFICE SUPPLIES,PAPER,EXPRESS AIR,22/1/2010
446.53,0.04,48,-261.45,10.16,0.59,ROB DOWD,Chennai,Tamil Nadu,India,CORPORATE,29185,20/1/2010,HIGH,FURNITURE,OFFICE FURNISHINGS,EXPRESS AIR,22/1/2010
21506.77,0.06,44,1260.51,24.49,0.36,CARLOS SOLTERO,Mumbai,Maharashtra,India,SMALL BUSINESS,12704,9/2/2010,LOW,TECHNOLOGY,COPIERS AND FAX,REGULAR AIR,9/2/2010
4260.73,0.07,44,251.58,56.14,0.39,NEIL KNUDSON,Chennai,Tamil Nadu,India,HOME OFFICE,29408,2/5/2010,NOT SPECIFIED,TECHNOLOGY,OFFICE MACHINES,DELIVERY TRUCK,3/5/2010
196.75,0.03,22,0.13,4.95,0.41,KHLOE MILLER,Chennai,Tamil Nadu,India,CORPORATE,29985,11/7/2012,CRITICAL,FURNITURE,OFFICE FURNISHINGS,EXPRESS AIR,12/7/2012
1477.39,0.03,40,641.4,2.99,0.35,ROB DOWD,Chennai,Tamil Nadu,India,CORPORATE,29986,3/7/2011,CRITICAL,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,REGULAR AIR,3/7/2011
740.14,0.06,37,29.73,10.49,0.49,CATHY ARMSTRONG,Chennai,Tamil Nadu,India,CONSUMER,30147,17/6/2012,NOT SPECIFIED,FURNITURE,OFFICE FURNISHINGS,REGULAR AIR,19/6/2012
16.47,0.1,8,-6.82,1.49,0.38,MARK COUSINS,Chennai,Tamil Nadu,India,CORPORATE,30149,12/12/2010,MEDIUM,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,REGULAR AIR,13/12/2010
173.62,0.09,5,-88.64,19.19,0.58,MARK COUSINS,Chennai,Tamil Nadu,India,CORPORATE,30149,12/12/2010,MEDIUM,FURNITURE,CHAIRS & CHAIRMATS,DELIVERY TRUCK,14/12/2010
690.97,0.03,50,-16.94,8.78,0.43,MARK COUSINS,Chennai,Tamil Nadu,India,CORPORATE,30149,12/12/2010,MEDIUM,FURNITURE,OFFICE FURNISHINGS,REGULAR AIR,15/12/2010
2024.0285,0.1,21,4.9,8.8,0.59,THOMAS BRUMLEY,Chennai,Tamil Nadu,India,CONSUMER,30310,26/4/2012,MEDIUM,TECHNOLOGY,TELEPHONES AND COMMUNICATION,REGULAR AIR,28/4/2012
4054.058,0.09,40,914.19,2.5,0.6,GREG MAXWELL,Chennai,Tamil Nadu,India,HOME OFFICE,31426,5/8/2009,LOW,TECHNOLOGY,TELEPHONES AND COMMUNICATION,REGULAR AIR,9/8/2009
2833.19,0.06,34,1409.87,5.01,0.38,VICKY FREYMANN,Chennai,Tamil Nadu,India,HOME OFFICE,31872,6/9/2010,LOW,OFFICE SUPPLIES,ENVELOPES,EXPRESS AIR,10/9/2010
669.02,0.02,28,-1274.02,53.03,0.78,CARLOS SOLTERO,Mumbai,Maharashtra,India,SMALL BUSINESS,12704,9/2/2010,LOW,OFFICE SUPPLIES,STORAGE & ORGANIZATION,DELIVERY TRUCK,11/2/2010
4452.65,0.09,30,-265.12,60,0.55,VICKY FREYMANN,Chennai,Tamil Nadu,India,HOME OFFICE,31872,6/9/2010,LOW,FURNITURE,TABLES,DELIVERY TRUCK,10/9/2010
321.95,0.03,29,20.76,3.37,0.57,SHAHID SHARIARI,Chennai,Tamil Nadu,India,CORPORATE,31874,15/9/2012,HIGH,OFFICE SUPPLIES,"SCISSORS, RULERS AND TRIMMERS",EXPRESS AIR,15/9/2012
13244.04,0.05,39,275.93,84.84,0.66,SHAHID SHARIARI,Chennai,Tamil Nadu,India,CORPORATE,31874,15/9/2012,HIGH,FURNITURE,TABLES,DELIVERY TRUCK,15/9/2012
1193.62,0.08,13,-304.47,42,0.66,SHAHID SHARIARI,Chennai,Tamil Nadu,India,CONSUMER,31938,27/7/2011,MEDIUM,FURNITURE,CHAIRS & CHAIRMATS,DELIVERY TRUCK,28/7/2011
363.23,0.05,47,40.58,4,0.42,SHAHID SHARIARI,Chennai,Tamil Nadu,India,CONSUMER,31938,27/7/2011,MEDIUM,FURNITURE,OFFICE FURNISHINGS,REGULAR AIR,29/7/2011
2780.88,0.07,27,595.38,24.49,0.61,TONY CHAPMAN,Chennai,Tamil Nadu,India,CONSUMER,32582,25/6/2009,NOT SPECIFIED,FURNITURE,OFFICE FURNISHINGS,EXPRESS AIR,26/6/2009
33.76,0.04,16,-7.15,1.49,0.36,NEIL KNUDSON,Chennai,Tamil Nadu,India,CORPORATE,32611,27/8/2009,MEDIUM,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,REGULAR AIR,29/8/2009
3537.39,0,19,232.78,30,0.69,NEIL KNUDSON,Chennai,Tamil Nadu,India,CORPORATE,32611,27/8/2009,MEDIUM,FURNITURE,CHAIRS & CHAIRMATS,DELIVERY TRUCK,28/8/2009
986.24,0.02,18,68.9,5.5,0.62,NEIL KNUDSON,Chennai,Tamil Nadu,India,CORPORATE,32611,27/8/2009,MEDIUM,TECHNOLOGY,COMPUTER PERIPHERALS,EXPRESS AIR,28/8/2009
81.66,0.05,15,-31.99,5.02,0.38,NEIL KNUDSON,Chennai,Tamil Nadu,India,CORPORATE,32611,27/8/2009,MEDIUM,OFFICE SUPPLIES,PAPER,REGULAR AIR,27/8/2009
716.84,0,32,134.72,5.94,0.5,CARLOS DALY,Kolkatta,West Bengal,India,HOME OFFICE,868,8/6/2012,NOT SPECIFIED,OFFICE SUPPLIES,APPLIANCES,REGULAR AIR,9/6/2012
1143.49,0.08,40,-193.44,19.99,0.39,CARLOS SOLTERO,Mumbai,Maharashtra,India,SMALL BUSINESS,12771,17/1/2009,CRITICAL,OFFICE SUPPLIES,LABELS,REGULAR AIR,17/1/2009
49.74,0,13,17.7,0.5,0.37,NEIL KNUDSON,Chennai,Tamil Nadu,India,CORPORATE,32901,10/1/2011,CRITICAL,OFFICE SUPPLIES,LABELS,REGULAR AIR,11/1/2011
480.39,0.01,21,144.66,8.99,0.41,LELA DONOVAN,Chennai,Tamil Nadu,India,CORPORATE,33284,31/3/2012,LOW,FURNITURE,OFFICE FURNISHINGS,REGULAR AIR,2/4/2012
