Ship_id,Prod_id,Ord_id,Cust_id,Sales,Discount,Order_Quantity,Profit,Shipping_Cost,Product_Base_Margin,Customer_Name,City,State,Country,Customer_Segment,Order_ID.x,Order_Date,Order_Priority,Product_Category,Product_Sub_Category,Order_ID.y,Ship_Mode,Ship_Date
SHP_1021,Prod_1,Ord_747,Cust_238,271.33,0.07,29,-191.09,9.45,0.6,ROB DOWD,Chennai,Tamil Nadu,India,CORPORATE,19044,11-04-2012,LOW,OFFICE SUPPLIES,STORAGE & ORGANIZATION,19044,REGULAR AIR,18-04-2012
SHP_1022,Prod_1,Ord_748,Cust_250,206.68,0,2,-156.47,35,0.81,MARK COUSINS,Chennai,Tamil Nadu,India,HOME OFFICE,19462,20-09-2011,MEDIUM,OFFICE SUPPLIES,STORAGE & ORGANIZATION,19462,REGULAR AIR,21-09-2011
SHP_1023,Prod_8,Ord_749,Cust_256,1115.2,0.09,41,301.31,1.99,0.5,GIULIETTA WEIMER,Chennai,Tamil Nadu,India,HOME OFFICE,19936,13-11-2012,CRITICAL,TECHNOLOGY,COMPUTER PERIPHERALS,19936,REGULAR AIR,14-11-2012
SHP_1023,Prod_3,Ord_749,Cust_256,36.75,0.06,19,-9.82,1.49,0.37,GIULIETTA WEIMER,Chennai,Tamil Nadu,India,HOME OFFICE,19936,13-11-2012,CRITICAL,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,19936,REGULAR AIR,14-11-2012
SHP_1024,Prod_5,Ord_750,Cust_248,97.86,0.04,6,-21.09,8.99,0.39,LIZ PRICE,Chennai,Tamil Nadu,India,CORPORATE,19972,16-06-2012,CRITICAL,FURNITURE,OFFICE FURNISHINGS,19972,REGULAR AIR,18-06-2012
SHP_1025,Prod_5,Ord_751,Cust_195,173.44,0.05,42,-172.4,6.6,0.49,SALLY KNUTSON,Chennai,Tamil Nadu,India,CONSUMER,20038,26-02-2010,LOW,FURNITURE,OFFICE FURNISHINGS,20038,REGULAR AIR,28-02-2010
SHP_1026,Prod_10,Ord_752,Cust_248,7477.78,0.09,31,883.29,41.91,0.59,LIZ PRICE,Chennai,Tamil Nadu,India,CORPORATE,20389,11-08-2009,HIGH,FURNITURE,BOOKCASES,20389,DELIVERY TRUCK,13-08-2009
SHP_1027,Prod_5,Ord_752,Cust_248,270.39,0.01,24,-30.42,7.94,0.52,LIZ PRICE,Chennai,Tamil Nadu,India,CORPORATE,20389,11-08-2009,HIGH,FURNITURE,OFFICE FURNISHINGS,20389,REGULAR AIR,13-08-2009
SHP_1028,Prod_6,Ord_752,Cust_248,201.35,0.02,30,-107.37,7.5,0.4,LIZ PRICE,Chennai,Tamil Nadu,India,CORPORATE,20389,11-08-2009,HIGH,OFFICE SUPPLIES,PAPER,20389,EXPRESS AIR,13-08-2009
SHP_1029,Prod_12,Ord_536,Cust_194,15.38,0.01,5,1.61,0.5,0.38,GENE HALE,Chennai,Tamil Nadu,India,CONSUMER,20422,26-01-2009,HIGH,OFFICE SUPPLIES,LABELS,20422,REGULAR AIR,28-01-2009
SHP_103,Prod_17,Ord_77,Cust_56,3019.41,0.04,25,1269.05,7.11,0.36,BRENDAN DODSON,Mumbai,Maharashtra,India,CORPORATE,12289,24-12-2011,LOW,TECHNOLOGY,OFFICE MACHINES,12289,REGULAR AIR,28-12-2011
SHP_1030,Prod_3,Ord_753,Cust_232,43.97,0.04,22,-9.05,1.49,0.37,SHAHID SHARIARI,Chennai,Tamil Nadu,India,CORPORATE,20676,22-11-2012,LOW,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,20676,REGULAR AIR,26-11-2012
SHP_1031,Prod_15,Ord_754,Cust_257,6152.52,0.08,39,768.06,30,0.62,JUSTIN HIRSH,Chennai,Tamil Nadu,India,CONSUMER,20807,21-07-2012,NOT SPECIFIED,FURNITURE,CHAIRS & CHAIRMATS,20807,DELIVERY TRUCK,23-07-2012
SHP_1032,Prod_16,Ord_755,Cust_258,235.98,0.03,21,11.82,3.37,0.57,SHAHID SHARIARI,Chennai,Tamil Nadu,India,CONSUMER,20838,10-04-2009,NOT SPECIFIED,OFFICE SUPPLIES,"SCISSORS, RULERS AND TRIMMERS",20838,REGULAR AIR,11-04-2009
SHP_1032,Prod_13,Ord_755,Cust_258,20.17,0.05,5,-15.42,3.97,0.56,SHAHID SHARIARI,Chennai,Tamil Nadu,India,CONSUMER,20838,10-04-2009,NOT SPECIFIED,OFFICE SUPPLIES,PENS & ART SUPPLIES,20838,REGULAR AIR,11-04-2009
SHP_1033,Prod_8,Ord_756,Cust_229,195.96,0.1,19,-104.82,6.5,0.64,GIULIETTA WEIMER,Chennai,Tamil Nadu,India,CORPORATE,20960,18-11-2011,LOW,TECHNOLOGY,COMPUTER PERIPHERALS,20960,REGULAR AIR,23-11-2011
SHP_1034,Prod_14,Ord_757,Cust_231,6607.92,0.06,34,1462.72,24.49,0.46,LELA DONOVAN,Chennai,Tamil Nadu,India,CORPORATE,20961,14-01-2010,NOT SPECIFIED,TECHNOLOGY,COPIERS AND FAX,20961,REGULAR AIR,16-01-2010
SHP_1035,Prod_6,Ord_758,Cust_237,278.94,0.01,30,-143.7,9.86,0.4,RALPH KENNEDY,Chennai,Tamil Nadu,India,CORPORATE,21350,24-02-2011,MEDIUM,OFFICE SUPPLIES,PAPER,21350,REGULAR AIR,25-02-2011
SHP_1036,Prod_5,Ord_759,Cust_245,8549.04,0.03,42,2861.01,11.54,0.59,VICKY FREYMANN,Chennai,Tamil Nadu,India,HOME OFFICE,21572,13-02-2009,CRITICAL,FURNITURE,OFFICE FURNISHINGS,21572,REGULAR AIR,15-02-2009
SHP_1037,Prod_8,Ord_760,Cust_244,670.94,0.02,15,87.51,1.99,0.55,THOMAS BRUMLEY,Chennai,Tamil Nadu,India,CONSUMER,21671,15-06-2010,HIGH,TECHNOLOGY,COMPUTER PERIPHERALS,21671,REGULAR AIR,18-06-2010
SHP_1038,Prod_8,Ord_761,Cust_237,9544.18,0,36,3392.88,11.25,0.51,RALPH KENNEDY,Chennai,Tamil Nadu,India,CORPORATE,22657,29-10-2011,HIGH,TECHNOLOGY,COMPUTER PERIPHERALS,22657,EXPRESS AIR,30-10-2011
SHP_1039,Prod_7,Ord_761,Cust_237,32.92,0.05,8,-7.73,2,0.53,RALPH KENNEDY,Chennai,Tamil Nadu,India,CORPORATE,22657,29-10-2011,HIGH,OFFICE SUPPLIES,RUBBER BANDS,22657,REGULAR AIR,30-10-2011
SHP_104,Prod_3,Ord_78,Cust_59,36.86,0.07,5,-32.82,8.49,0.39,HUNTER GLANTZ,Mumbai,Maharashtra,India,CORPORATE,12352,23-03-2012,MEDIUM,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,12352,REGULAR AIR,24-03-2012
SHP_1040,Prod_6,Ord_762,Cust_237,336.91,0.1,11,42.5,8.74,0.4,RALPH KENNEDY,Chennai,Tamil Nadu,India,CORPORATE,23207,22-10-2010,CRITICAL,OFFICE SUPPLIES,PAPER,23207,REGULAR AIR,23-10-2010
SHP_1041,Prod_2,Ord_763,Cust_239,138.52,0.03,20,-895.24,49,0.6,KHLOE MILLER,Chennai,Tamil Nadu,India,HOME OFFICE,23940,08-04-2011,MEDIUM,OFFICE SUPPLIES,APPLIANCES,23940,REGULAR AIR,09-04-2011
SHP_1042,Prod_15,Ord_763,Cust_239,1735.59,0.02,11,-506.43,60.2,0.77,KHLOE MILLER,Chennai,Tamil Nadu,India,HOME OFFICE,23940,08-04-2011,MEDIUM,FURNITURE,CHAIRS & CHAIRMATS,23940,DELIVERY TRUCK,11-04-2011
SHP_1043,Prod_2,Ord_764,Cust_241,443.35,0.02,37,-21.73,4.98,0.58,KRISTINA NUNN,Chennai,Tamil Nadu,India,CONSUMER,24450,09-07-2012,CRITICAL,OFFICE SUPPLIES,APPLIANCES,24450,REGULAR AIR,11-07-2012
SHP_1043,Prod_6,Ord_764,Cust_241,30.85,0.03,4,-12.88,5.79,0.36,KRISTINA NUNN,Chennai,Tamil Nadu,India,CONSUMER,24450,09-07-2012,CRITICAL,OFFICE SUPPLIES,PAPER,24450,REGULAR AIR,11-07-2012
SHP_1044,Prod_5,Ord_764,Cust_241,392.61,0.08,41,-100.15,7.29,0.45,KRISTINA NUNN,Chennai,Tamil Nadu,India,CONSUMER,24450,09-07-2012,CRITICAL,FURNITURE,OFFICE FURNISHINGS,24450,EXPRESS AIR,12-07-2012
SHP_1045,Prod_13,Ord_765,Cust_251,1081.22,0.08,25,130.8,8.99,0.58,MARK COUSINS,Chennai,Tamil Nadu,India,CORPORATE,24580,23-06-2012,HIGH,OFFICE SUPPLIES,PENS & ART SUPPLIES,24580,REGULAR AIR,24-06-2012
SHP_1046,Prod_5,Ord_765,Cust_251,36.41,0.01,14,-31.45,4.57,0.41,MARK COUSINS,Chennai,Tamil Nadu,India,CORPORATE,24580,23-06-2012,HIGH,FURNITURE,OFFICE FURNISHINGS,24580,REGULAR AIR,25-06-2012
SHP_1047,Prod_11,Ord_766,Cust_259,5205.83,0.08,45,-818.77,51.94,0.63,SALLY KNUTSON,Chennai,Tamil Nadu,India,SMALL BUSINESS,24833,16-07-2010,NOT SPECIFIED,FURNITURE,TABLES,24833,DELIVERY TRUCK,18-07-2010
SHP_1048,Prod_10,Ord_767,Cust_258,3416.38,0.01,32,-1142.2,57.38,0.78,SHAHID SHARIARI,Chennai,Tamil Nadu,India,CONSUMER,24933,26-07-2009,LOW,FURNITURE,BOOKCASES,24933,DELIVERY TRUCK,28-07-2009
SHP_1049,Prod_6,Ord_767,Cust_258,142.81,0.01,14,39.64,2.27,0.36,SHAHID SHARIARI,Chennai,Tamil Nadu,India,CONSUMER,24933,26-07-2009,LOW,OFFICE SUPPLIES,PAPER,24933,REGULAR AIR,28-07-2009
SHP_105,Prod_17,Ord_79,Cust_42,22079.47,0.06,12,5322.14,13.99,0.38,SYLVIA FOULSTON,Mumbai,Maharashtra,India,CORPORATE,12419,15-10-2011,CRITICAL,TECHNOLOGY,OFFICE MACHINES,12419,REGULAR AIR,17-10-2011
SHP_1050,Prod_11,Ord_768,Cust_195,4636.62,0.1,24,-318.45,69,0.79,SALLY KNUTSON,Chennai,Tamil Nadu,India,CONSUMER,25031,23-08-2009,HIGH,FURNITURE,TABLES,25031,REGULAR AIR,25-08-2009
SHP_1051,Prod_6,Ord_768,Cust_195,100.11,0.07,20,-41.7,4.7,0.38,SALLY KNUTSON,Chennai,Tamil Nadu,India,CONSUMER,25031,23-08-2009,HIGH,OFFICE SUPPLIES,PAPER,25031,REGULAR AIR,24-08-2009
SHP_1052,Prod_11,Ord_769,Cust_260,5140.08,0.06,36,-582.43,51.92,0.69,SALLY KNUTSON,Chennai,Tamil Nadu,India,HOME OFFICE,25633,01-08-2011,LOW,FURNITURE,TABLES,25633,DELIVERY TRUCK,06-08-2011
SHP_1053,Prod_2,Ord_770,Cust_202,633.08,0.04,14,145.48,4.62,0.56,SALLY KNUTSON,Chennai,Tamil Nadu,India,CORPORATE,25635,29-05-2012,CRITICAL,OFFICE SUPPLIES,APPLIANCES,25635,EXPRESS AIR,30-05-2012
SHP_1054,Prod_5,Ord_770,Cust_202,110.42,0.09,22,-36.6,3.63,0.51,SALLY KNUTSON,Chennai,Tamil Nadu,India,CORPORATE,25635,29-05-2012,CRITICAL,FURNITURE,OFFICE FURNISHINGS,25635,REGULAR AIR,30-05-2012
SHP_1055,Prod_2,Ord_771,Cust_257,25.34,0.1,5,-21.29,6.89,0.6,JUSTIN HIRSH,Chennai,Tamil Nadu,India,CONSUMER,25830,06-05-2010,LOW,OFFICE SUPPLIES,APPLIANCES,25830,REGULAR AIR,06-05-2010
SHP_1056,Prod_3,Ord_771,Cust_257,178.57,0.05,11,-37.39,10.91,0.36,JUSTIN HIRSH,Chennai,Tamil Nadu,India,CONSUMER,25830,06-05-2010,LOW,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,25830,REGULAR AIR,11-05-2010
SHP_1057,Prod_6,Ord_772,Cust_239,265.35,0.02,24,-128.69,11.59,0.4,KHLOE MILLER,Chennai,Tamil Nadu,India,HOME OFFICE,26342,18-10-2009,LOW,OFFICE SUPPLIES,PAPER,26342,REGULAR AIR,27-10-2009
SHP_1058,Prod_6,Ord_772,Cust_239,1993.94,0.02,41,931.7,5.79,0.37,KHLOE MILLER,Chennai,Tamil Nadu,India,HOME OFFICE,26342,18-10-2009,LOW,OFFICE SUPPLIES,PAPER,26342,REGULAR AIR,23-10-2009
SHP_1059,Prod_6,Ord_772,Cust_239,24.73,0.04,3,-10.77,4.91,0.37,KHLOE MILLER,Chennai,Tamil Nadu,India,HOME OFFICE,26342,18-10-2009,LOW,OFFICE SUPPLIES,PAPER,26342,REGULAR AIR,25-10-2009
SHP_106,Prod_15,Ord_80,Cust_60,5407.31,0.04,24,1068.48,28.16,0.59,EUGENE BARCHAS,Mumbai,Maharashtra,India,HOME OFFICE,12485,07-08-2010,CRITICAL,FURNITURE,CHAIRS & CHAIRMATS,12485,DELIVERY TRUCK,08-08-2010
SHP_1060,Prod_4,Ord_773,Cust_232,1809.0125,0.01,25,795.05,2.5,0.35,SHAHID SHARIARI,Chennai,Tamil Nadu,India,CORPORATE,26368,15-07-2010,MEDIUM,TECHNOLOGY,TELEPHONES AND COMMUNICATION,26368,REGULAR AIR,17-07-2010
SHP_1061,Prod_8,Ord_774,Cust_237,31.96,0.01,1,-74.64,1.99,0.5,RALPH KENNEDY,Chennai,Tamil Nadu,India,CORPORATE,26372,12-07-2009,LOW,TECHNOLOGY,COMPUTER PERIPHERALS,26372,REGULAR AIR,16-07-2009
SHP_1062,Prod_8,Ord_775,Cust_256,767.26,0.07,25,-29.56,4,0.74,GIULIETTA WEIMER,Chennai,Tamil Nadu,India,HOME OFFICE,26756,10-05-2012,MEDIUM,TECHNOLOGY,COMPUTER PERIPHERALS,26756,REGULAR AIR,10-05-2012
SHP_1063,Prod_6,Ord_775,Cust_256,253.89,0.09,40,-103.77,6.22,0.37,GIULIETTA WEIMER,Chennai,Tamil Nadu,India,HOME OFFICE,26756,10-05-2012,MEDIUM,OFFICE SUPPLIES,PAPER,26756,REGULAR AIR,12-05-2012
SHP_1063,Prod_6,Ord_775,Cust_256,127.9,0.07,20,-80.41,7.37,0.37,GIULIETTA WEIMER,Chennai,Tamil Nadu,India,HOME OFFICE,26756,10-05-2012,MEDIUM,OFFICE SUPPLIES,PAPER,26756,REGULAR AIR,12-05-2012
SHP_1064,Prod_8,Ord_776,Cust_261,73.64,0.07,44,-58.87,1.99,0.51,HEATHER JAS,Chennai,Tamil Nadu,India,CORPORATE,26851,24-07-2011,HIGH,TECHNOLOGY,COMPUTER PERIPHERALS,26851,REGULAR AIR,26-07-2011
SHP_1065,Prod_4,Ord_777,Cust_245,603.347,0.08,13,142.98,1.25,0.35,VICKY FREYMANN,Chennai,Tamil Nadu,India,HOME OFFICE,26981,30-08-2012,MEDIUM,TECHNOLOGY,TELEPHONES AND COMMUNICATION,26981,REGULAR AIR,30-08-2012
SHP_1066,Prod_1,Ord_777,Cust_245,770.53,0.04,44,30.17,6.25,0.58,VICKY FREYMANN,Chennai,Tamil Nadu,India,HOME OFFICE,26981,30-08-2012,MEDIUM,OFFICE SUPPLIES,STORAGE & ORGANIZATION,26981,REGULAR AIR,31-08-2012
SHP_1067,Prod_14,Ord_778,Cust_262,7813.7,0.09,40,2154.33,24.49,0.46,PHILISSE OVERCASH,Chennai,Tamil Nadu,India,SMALL BUSINESS,27298,19-11-2011,LOW,TECHNOLOGY,COPIERS AND FAX,27298,REGULAR AIR,23-11-2011
SHP_1068,Prod_6,Ord_778,Cust_262,164.92,0.04,31,-54.36,4.86,0.38,PHILISSE OVERCASH,Chennai,Tamil Nadu,India,SMALL BUSINESS,27298,19-11-2011,LOW,OFFICE SUPPLIES,PAPER,27298,REGULAR AIR,24-11-2011
SHP_1069,Prod_5,Ord_779,Cust_250,507.74,0.05,8,-118.54,52.2,0.72,MARK COUSINS,Chennai,Tamil Nadu,India,HOME OFFICE,27330,16-09-2009,LOW,FURNITURE,OFFICE FURNISHINGS,27330,REGULAR AIR,16-09-2009
SHP_107,Prod_5,Ord_81,Cust_61,74.3,0.08,34,-129.01,5.33,0.43,JIM RADFORD,Mumbai,Maharashtra,India,CORPORATE,12544,03-03-2009,LOW,FURNITURE,OFFICE FURNISHINGS,12544,REGULAR AIR,10-03-2009
SHP_1070,Prod_17,Ord_779,Cust_250,12600.99,0.05,30,2963.48,14.7,0.56,MARK COUSINS,Chennai,Tamil Nadu,India,HOME OFFICE,27330,16-09-2009,LOW,TECHNOLOGY,OFFICE MACHINES,27330,DELIVERY TRUCK,25-09-2009
SHP_1071,Prod_9,Ord_780,Cust_240,181.13,0,47,-11.39,2.5,0.39,SHAHID HOPKINS,Chennai,Tamil Nadu,India,SMALL BUSINESS,27781,15-09-2011,HIGH,OFFICE SUPPLIES,ENVELOPES,27781,REGULAR AIR,17-09-2011
SHP_1072,Prod_5,Ord_781,Cust_246,206.04,0,9,-49.81,14.39,0.47,KHLOE MILLER,Chennai,Tamil Nadu,India,CORPORATE,28225,22-01-2009,CRITICAL,FURNITURE,OFFICE FURNISHINGS,28225,REGULAR AIR,22-01-2009
SHP_1073,Prod_5,Ord_782,Cust_250,668.39,0.07,22,344.61,3.92,0.44,MARK COUSINS,Chennai,Tamil Nadu,India,HOME OFFICE,28389,03-11-2009,HIGH,FURNITURE,OFFICE FURNISHINGS,28389,REGULAR AIR,04-11-2009
SHP_1074,Prod_17,Ord_782,Cust_250,4657.35,0.05,16,322.66,18.06,0.6,MARK COUSINS,Chennai,Tamil Nadu,India,HOME OFFICE,28389,03-11-2009,HIGH,TECHNOLOGY,OFFICE MACHINES,28389,DELIVERY TRUCK,04-11-2009
SHP_1075,Prod_11,Ord_782,Cust_250,2097.94,0.07,7,-404.05,54.12,0.76,MARK COUSINS,Chennai,Tamil Nadu,India,HOME OFFICE,28389,03-11-2009,HIGH,FURNITURE,TABLES,28389,DELIVERY TRUCK,05-11-2009
SHP_1076,Prod_6,Ord_783,Cust_251,246,0.1,44,-207.36,7.96,0.36,MARK COUSINS,Chennai,Tamil Nadu,India,CORPORATE,28898,28-05-2011,LOW,OFFICE SUPPLIES,PAPER,28898,REGULAR AIR,28-05-2011
SHP_1077,Prod_6,Ord_784,Cust_233,871.32,0.1,23,315.16,5.86,0.36,TRUDY SCHMIDT,Chennai,Tamil Nadu,India,SMALL BUSINESS,28901,11-06-2012,HIGH,OFFICE SUPPLIES,PAPER,28901,REGULAR AIR,12-06-2012
SHP_1078,Prod_2,Ord_785,Cust_238,468.49,0.03,8,-6.37,13.22,0.56,ROB DOWD,Chennai,Tamil Nadu,India,CORPORATE,29185,20-01-2010,HIGH,OFFICE SUPPLIES,APPLIANCES,29185,REGULAR AIR,21-01-2010
SHP_1079,Prod_6,Ord_785,Cust_238,217.85,0.02,5,-25.31,17.48,0.36,ROB DOWD,Chennai,Tamil Nadu,India,CORPORATE,29185,20-01-2010,HIGH,OFFICE SUPPLIES,PAPER,29185,EXPRESS AIR,22-01-2010
SHP_1079,Prod_5,Ord_785,Cust_238,446.53,0.04,48,-261.45,10.16,0.59,ROB DOWD,Chennai,Tamil Nadu,India,CORPORATE,29185,20-01-2010,HIGH,FURNITURE,OFFICE FURNISHINGS,29185,EXPRESS AIR,22-01-2010
SHP_108,Prod_14,Ord_82,Cust_62,21506.77,0.06,44,1260.51,24.49,0.36,CARLOS SOLTERO,Mumbai,Maharashtra,India,SMALL BUSINESS,12704,09-02-2010,LOW,TECHNOLOGY,COPIERS AND FAX,12704,REGULAR AIR,09-02-2010
SHP_1080,Prod_17,Ord_786,Cust_263,4260.73,0.07,44,251.58,56.14,0.39,NEIL KNUDSON,Chennai,Tamil Nadu,India,HOME OFFICE,29408,02-05-2010,NOT SPECIFIED,TECHNOLOGY,OFFICE MACHINES,29408,DELIVERY TRUCK,03-05-2010
